Order_ID,Order_Date,Customer_ID,Customer_Name,City,Pincode,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Amount,Discount,Final_Amount,Payment_Mode,Delivery_Time_Minutes,Delivery_Status,Rating,Review,Delivery_Partner
94317d2b-cba7-478a-b150-872fefaaedfb,2025-02-08,ba446cab-38d3-4724-ada4-7d0ebc03cd27,David Thompson,Delhi,,8e8aa819-4739-4fcf-bb8a-ca84b3389b6b,Cola,Personal Care,-1.0,50.0,-50.0,10.0,-60.0,UPI,15.0,Cancelled,6.0,,Kayla
b6763b8b-66e6-4a4b-ba0b-27c61c08c1e8,2025-02-28,1c77b5be-2336-4a6c-8ce3-f94f92464a0e,Daniel Mccarthy,Hyderabad,78652,fa8485aa-a169-4d37-b515-d72a93929d19,Biscuits,Vegetables,5.0,20.0,100.0,0.0,100.0,Cash,60.0,Cancelled,,,Sarah
57aa9bbb-789f-4896-ba26-df2a92d0acc6,2025-05-14,a74f0d22-4c5e-4cda-b54e-1871b188b18a,Christine Carter,,95451,0df90c28-e3ac-48e3-ada7-151e586a18ce,cola,Dairy,1.0,100.0,100.0,-3.0,103.0,UPI,30.0,Delivered,2.0,To smile amount result.,John
10522989-dd4e-4239-9ea8-8c0770ccc15c,2025-02-26,2556e445-cae3-458c-9834-9d7a2821eaae,Daniel Garcia,Bangalore,65375 ,3c690a5b-7306-4f97-b5e3-31a8b23b9c0b,Shampoo,Fruits,,20.0,,-3.0,,Cash,30.0,Delivered,5.0,,Dawn
,2024-12-27,1a042aa5-3e25-4a58-8943-15be0b557e12,Richard Sanchez,Hyderabad,82221,d6cacf86-e240-42d5-aa61-e3046090c2db,Soap,Beverages,1.0,100.0,100.0,,,Cash,,Pending,5.0,,Suzanne
134c59b4-91ae-44b8-af02-57bef73e50c8,2025-04-02,f59771cf-12d2-4f0d-bf73-3794cd08f014,Kelly Smith,,76539,fae3849b-2ba8-4f80-8dbd-b9d38ae489de,Cola,Fruits,1.0,20.0,20.0,10.0,10.0,Wallet,45.0,Delivered,2.0,,Paul
efe5fc27-64c3-4913-9af3-3bce7f9401b1,2024-12-22,5697cb5c-2e30-498f-99d2-f6b62f89ffea,Richard Simmons ,Chennai,58396 ,49f92f0e-6e2e-4570-86dd-3941f1edb8ec,,Personal Care,,,,-3.0,,UPI,15.0,Cancelled,2.0,,William
aeb07ba4-20d3-4852-930e-530d86cd0c34,2025-04-03,c9cd0b49-450e-4d1e-b377-be346d2992ea,Tyler Garcia,Chennai,68903,70fd0640-bffd-443d-9419-301d81e50c19,Toothpaste,Household,3.0,-5.0,-15.0,,,UPI,120.0,Delivered,3.0,Economy behind cause necessary true study onto.,Bradley
899dc398-de0a-4dad-9dc7-640436c398f2,2025-03-09,31c7209d-3b24-4bf0-b771-5338b4ec0c8d,Alexander Harrison,Hyderabad,35315,44d9315b-82f1-42a3-ae46-9c52d6015a43,Cola,Personal Care,,-5.0,,5.0,,UPI,,Pending,3.0,,Jennifer
207e04d7-4ffb-48cc-ab05-9dab9211c08c,2025-02-14,a40ffca3-dd51-4e4b-bf85-893f55742261,Michael Crane,Chennai ,33536,87ab9d6f-8b0f-436f-af85-6539fc20d2dd,Cola,Dairy,1.0,-5.0,-5.0,0.0,-5.0,Card,120.0,Cancelled,1.0,,
de884c16-39a5-4d2f-aecb-6f094ed3942f,2025-03-15,40bfb990-f99a-4a31-abea-d774e800b13f,Sierra Hall,Hyderabad,18800,e6e65d9d-fe85-4f72-8f92-018eee07e8e4,Soap,Beverages,,-5.0,,5.0,,UPI,15.0,Cancelled,5.0,Six provide notice.,Amy
3aac6f7f-1ab8-4eb5-bc95-e152bd889211,2025-03-04,1fed8db8-a310-4ed7-a2c4-53c172ac1949,Todd Hardin,,83577,0f6bae36-aa73-4ab9-85a3-853ff9b3cabc,Bread,Grocery,-1.0,10.0,-10.0,0.0,-10.0,Wallet,30.0,Pending,1.0,Throughout professor pass.,Melvin
e06abd14-4e74-4497-8bc4-444d13fbc5d3,2025-06-18,058e2ef2-dc67-4549-9b40-a560f9826b85,gregory davis,bangalore,61237,9c241914-0697-4242-bbdb-541fa1059bc5,Bread,Vegetables,10.0,100.0,1000.0,,,Cash,-10.0,Delivered,4.0,,Jeremy
7534fbd1-1115-43e5-ab82-031305d76058,2025-04-07,92172d92-1645-432c-97cd-3e94af6323a3,Rebecca Burch,Bangalore,88279,8cc3d548-ec07-4066-95ad-04a928a8ef67,Biscuits ,Snacks,1.0,,,5.0,,UPI,,Cancelled,3.0,Win break mission tax new.,Brandon
dcc4af1e-34d8-42fb-a61f-476030df3c16,2025-04-12,c45ae265-0a0a-4ed7-ae61-2284d1e7ea1c,Erika Walters,Mumbai,66063,cd680868-700d-4db1-b4d1-4bf25a7f67a1,Milk,Personal Care,10.0,-5.0,-50.0,-3.0,-47.0,UPI,60.0,Cancelled,1.0,,Rebecca
dc9bf944-72fd-49d0-9e14-2c578f46f7e3,2025-01-15,5969cbfc-a14e-4b8a-a92e-450c11af1dd0,Dr. Sarah Cunningham,hyderabad,61140,d0a7ef5a-3fbb-49d3-bb06-e0d7c82ca68b,Soap,Household,5.0,100.0,500.0,0.0,500.0,UPI,45.0,Pending,3.0,,Devon
47ed0528-44fd-4d24-9dfc-80bdbbe55933,2025-03-11,75059b40-fd31-4eb4-b253-bec8b16a1dba,adam ho,Hyderabad,35545,79e6978f-7573-4df2-9c5c-787e7792a7d2,Bread,Grocery,-1.0,100.0,-100.0,,,Cash,60.0,Delivered,3.0,,
9ff84cda-7350-4c2f-991d-a7d80bc24dcf,2025-05-23,d5c243fc-9c18-4277-900f-72f77c34a286,John Smith DVM,,82280,07bb6507-fed4-4e1f-a5c8-2c76ad7f8531,Biscuits,Beverages,-1.0,100.0,-100.0,10.0,-110.0,card,60.0,Pending,4.0,Reason really phone concern.,Anthony
82b5b3b8-fbae-43f6-aae1-5d2cb997a08e,2025-01-28,9d847421-2bc5-4162-a757-408c343875e6,Edwin Williams,Delhi,74620,7eacce2c-f00d-48da-8065-41b21730fcba,Biscuits,snacks,2.0,-5.0,-10.0,5.0,-15.0,Card,15.0,Delivered,4.0,Bar lot word say.,Sandy
